ID bloco;Xi;Yi;Xf;Yf;Tipo;Layer;Lenght;ID fiada;ID par;Check;XiDelta;YiDelta;;
B39000048;72.7489;15.41;73.1389;15.6;POLYLINE;B39;39;F030014;P0002;;760;40;;
B39000049;72.3489;15.41;72.7389;15.6;POLYLINE;B39;39;F030014;P0002;;720;40;;
B39000050;73.1489;15.41;73.5389;15.6;POLYLINE;B39;39;F030014;P0002;;800;40;;
B39000051;72.9489;15.21;73.3389;15.4;POLYLINE;B39;39;F020016;P0002;;780;20;;
B39000052;72.5489;15.21;72.9389;15.4;POLYLINE;B39;39;F020016;P0002;;740;20;;
B39000053;73.3489;15.21;73.7389;15.4;POLYLINE;B39;39;F020016;P0002;;820;20;;
B39000054;72.7489;15.01;73.1389;15.2;POLYLINE;B39;39;F010014;P0002;;760;0;;
B39000055;72.3489;15.01;72.7389;15.2;POLYLINE;B39;39;F010014;P0002;;720;0;;
B39000056;73.1489;15.01;73.5389;15.2;POLYLINE;B39;39;F010014;P0002;;800;0;;
B39000057;71.5489;17.41;71.9389;17.6;POLYLINE;B39C;39;F130007;P0002;;640;240;;
B39000058;71.1489;17.41;71.5389;17.6;POLYLINE;B39C;39;F130007;P0002;;600;240;;
B39000059;71.9489;17.41;72.3389;17.6;POLYLINE;B39C;39;F130007;P0002;;680;240;;
B39000060;71.7489;17.21;72.1389;17.4;POLYLINE;B39;39;F120007;P0002;;660;220;;
B39000061;71.3489;17.21;71.7389;17.4;POLYLINE;B39C;39;F120007;P0002;;620;220;;
B39000062;72.1489;17.21;72.5389;17.4;POLYLINE;B39;39;F120007;P0002;;700;220;;
B39000063;71.5489;17.01;71.9389;17.2;POLYLINE;B39;39;F110016;P0002;;640;200;;
B39000064;71.9489;17.01;72.3389;17.2;POLYLINE;B39;39;F110016;P0002;;680;200;;
B39000065;71.7489;16.81;72.1389;17;POLYLINE;B39;39;F100021;P0002;;660;180;;
B39000066;71.3489;16.81;71.7389;17;POLYLINE;B39;39;F100021;P0002;;620;180;;
B39000067;72.1489;16.81;72.5389;17;POLYLINE;B39;39;F100021;P0002;;700;180;;
B39000068;71.5489;16.61;71.9389;16.8;POLYLINE;B39;39;F090021;P0002;;640;160;;
B39000069;71.9489;16.61;72.3389;16.8;POLYLINE;B39;39;F090021;P0002;;680;160;;
B39000070;71.7489;16.41;72.1389;16.6;POLYLINE;B39;39;F080021;P0002;;660;140;;
B39000071;71.3489;16.41;71.7389;16.6;POLYLINE;B39;39;F080021;P0002;;620;140;;
B39000072;72.1489;16.41;72.5389;16.6;POLYLINE;B39;39;F080021;P0002;;700;140;;
B39000073;71.5489;16.21;71.9389;16.4;POLYLINE;B39;39;F070020;P0002;;640;120;;
B39000074;71.9489;16.21;72.3389;16.4;POLYLINE;B39;39;F070020;P0002;;680;120;;
B39000075;71.7489;16.01;72.1389;16.2;POLYLINE;B39;39;F060020;P0002;;660;100;;
B39000076;71.3489;16.01;71.7389;16.2;POLYLINE;B39;39;F060020;P0002;;620;100;;
B39000077;72.1489;16.01;72.5389;16.2;POLYLINE;B39;39;F060020;P0002;;700;100;;
B39000078;71.5489;15.81;71.9389;16;POLYLINE;B39C;39;F050014;P0002;;640;80;;
B39000079;71.1489;15.81;71.5389;16;POLYLINE;B39C;39;F050014;P0002;;600;80;;
B39000080;71.9489;15.81;72.3389;16;POLYLINE;B39;39;F050014;P0002;;680;80;;
B39000081;71.7489;15.61;72.1389;15.8;POLYLINE;B39;39;F040014;P0002;;660;60;;
B39000082;71.3489;15.61;71.7389;15.8;POLYLINE;B39;39;F040014;P0002;;620;60;;
B39000083;72.1489;15.61;72.5389;15.8;POLYLINE;B39;39;F040014;P0002;;700;60;;
B39000084;71.5489;15.41;71.9389;15.6;POLYLINE;B39;39;F030014;P0002;;640;40;;
B39000085;71.1489;15.41;71.5389;15.6;POLYLINE;B39;39;F030014;P0002;;600;40;;
B39000086;71.9489;15.41;72.3389;15.6;POLYLINE;B39;39;F030014;P0002;;680;40;;
B39000087;71.7489;15.21;72.1389;15.4;POLYLINE;B39;39;F020016;P0002;;660;20;;
B39000088;71.3489;15.21;71.7389;15.4;POLYLINE;B39;39;F020016;P0002;;620;20;;
B39000089;72.1489;15.21;72.5389;15.4;POLYLINE;B39;39;F020016;P0002;;700;20;;
B39000090;71.5489;15.01;71.9389;15.2;POLYLINE;B39;39;F010014;P0002;;640;0;;
B39000091;71.1489;15.01;71.5389;15.2;POLYLINE;B39;39;F010014;P0002;;600;0;;
B39000092;71.9489;15.01;72.3389;15.2;POLYLINE;B39;39;F010014;P0002;;680;0;;
B04000001;73.9489;17.41;73.9889;17.6;POLYLINE;B04;4;F130007;P0002;;880;240;;
B14000008;73.9989;17.41;74.1389;17.6;POLYLINE;BP;14;F130007;P0002;;885;240;;
B04000002;73.9489;17.01;73.9889;17.2;POLYLINE;B04;4;F110016;P0002;;880;200;;
B14000009;73.9989;17.01;74.1389;17.2;POLYLINE;BP;14;F110016;P0002;;885;200;;
B04000003;73.9489;16.61;73.9889;16.8;POLYLINE;B04;4;F090021;P0002;;880;160;;
B14000010;73.9989;16.61;74.1389;16.8;POLYLINE;BP;14;F090021;P0002;;885;160;;
B04000004;73.9489;16.21;73.9889;16.4;POLYLINE;B04;4;F070020;P0002;;880;120;;
B14000011;73.9989;16.21;74.1389;16.4;POLYLINE;BP;14;F070020;P0002;;885;120;;
B04000005;73.9489;15.81;73.9889;16;POLYLINE;B04;4;F050014;P0002;;880;80;;
B14000012;73.9989;15.81;74.1389;16;POLYLINE;BP;14;F050014;P0002;;885;80;;
B04000006;73.9489;15.41;73.9889;15.6;POLYLINE;B04;4;F030014;P0002;;880;40;;
B14000013;73.9989;15.41;74.1389;15.6;POLYLINE;BP;14;F030014;P0002;;885;40;;
B04000007;73.9489;15.01;73.9889;15.2;POLYLINE;B04;4;F010014;P0002;;880;0;;
B14000014;73.9989;15.01;74.1389;15.2;POLYLINE;BP;14;F010014;P0002;;885;0;;
B14000015;65.1489;17.21;65.2889;17.4;POLYLINE;BP;14;F120007;P0002;;0;220;;
B04000008;65.2989;17.21;65.3389;17.4;POLYLINE;B04;4;F120007;P0002;;15;220;;
B14000016;65.1489;16.81;65.2889;17;POLYLINE;BP;14;F100021;P0002;;0;180;;
B04000009;65.2989;16.81;65.3389;17;POLYLINE;B04;4;F100021;P0002;;15;180;;
B14000017;65.1489;16.41;65.2889;16.6;POLYLINE;BP;14;F080021;P0002;;0;140;;
B04000010;65.2989;16.41;65.3389;16.6;POLYLINE;B04;4;F080021;P0002;;15;140;;
B14000018;65.1489;16.01;65.2889;16.2;POLYLINE;BP;14;F060020;P0002;;0;100;;
B04000011;65.2989;16.01;65.3389;16.2;POLYLINE;B04;4;F060020;P0002;;15;100;;
B14000019;65.1489;15.61;65.2889;15.8;POLYLINE;BP;14;F040014;P0002;;0;60;;
B04000012;65.2989;15.61;65.3389;15.8;POLYLINE;B04;4;F040014;P0002;;15;60;;
B14000020;65.1489;15.21;65.2889;15.4;POLYLINE;BP;14;F020016;P0002;;0;20;;
B04000013;65.2989;15.21;65.3389;15.4;POLYLINE;B04;4;F020016;P0002;;15;20;;
B39000093;65.5489;17.41;65.9389;17.6;POLYLINE;B39C;39;F130007;P0002;;40;240;;
B39000094;65.1489;17.41;65.5389;17.6;POLYLINE;B39C;39;F130007;P0002;;0;240;;
B39000095;65.9489;17.41;66.3389;17.6;POLYLINE;B39C;39;F130007;P0002;;80;240;;
B39000096;66.7489;17.41;67.1389;17.6;POLYLINE;B39C;39;F130007;P0002;;160;240;;
B39000097;66.3489;17.41;66.7389;17.6;POLYLINE;B39C;39;F130007;P0002;;120;240;;
B39000098;67.1489;17.41;67.5389;17.6;POLYLINE;B39C;39;F130007;P0002;;200;240;;
B39000099;67.9489;17.41;68.3389;17.6;POLYLINE;B39C;39;F130007;P0002;;280;240;;
B39000100;67.5489;17.41;67.9389;17.6;POLYLINE;B39C;39;F130007;P0002;;240;240;;
B39000101;68.3489;17.41;68.7389;17.6;POLYLINE;B39C;39;F130007;P0002;;320;240;;
B39000102;69.1489;17.41;69.5389;17.6;POLYLINE;B39C;39;F130007;P0002;;400;240;;
B39000103;68.7489;17.41;69.1389;17.6;POLYLINE;B39C;39;F130007;P0002;;360;240;;
B39000104;69.5489;17.41;69.9389;17.6;POLYLINE;B39C;39;F130007;P0002;;440;240;;
B39000105;70.3489;17.41;70.7389;17.6;POLYLINE;B39C;39;F130007;P0002;;520;240;;
B39000106;69.9489;17.41;70.3389;17.6;POLYLINE;B39C;39;F130007;P0002;;480;240;;
B39000107;70.7489;17.41;71.1389;17.6;POLYLINE;B39C;39;F130007;P0002;;560;240;;
B39000108;65.7489;17.21;66.1389;17.4;POLYLINE;B39;39;F120007;P0002;;60;220;;
B39000109;65.3489;17.21;65.7389;17.4;POLYLINE;B39;39;F120007;P0002;;20;220;;
B39000110;66.1489;17.21;66.5389;17.4;POLYLINE;B39C;39;F120007;P0002;;100;220;;
B39000111;66.9489;17.21;67.3389;17.4;POLYLINE;B39C;39;F120007;P0002;;180;220;;
B39000112;66.5489;17.21;66.9389;17.4;POLYLINE;B39C;39;F120007;P0002;;140;220;;
B39000113;67.3489;17.21;67.7389;17.4;POLYLINE;B39C;39;F120007;P0002;;220;220;;
B39000114;68.1489;17.21;68.5389;17.4;POLYLINE;B39;39;F120007;P0002;;300;220;;
B39000115;67.7489;17.21;68.1389;17.4;POLYLINE;B39C;39;F120007;P0002;;260;220;;
B39000116;68.5489;17.21;68.9389;17.4;POLYLINE;B39;39;F120007;P0002;;340;220;;
B39000117;69.3489;17.21;69.7389;17.4;POLYLINE;B39C;39;F120007;P0002;;420;220;;
B39000118;68.9489;17.21;69.3389;17.4;POLYLINE;B39C;39;F120007;P0002;;380;220;;
B39000119;69.7489;17.21;70.1389;17.4;POLYLINE;B39C;39;F120007;P0002;;460;220;;
B39000120;70.5489;17.21;70.9389;17.4;POLYLINE;B39C;39;F120007;P0002;;540;220;;
B39000121;70.1489;17.21;70.5389;17.4;POLYLINE;B39C;39;F120007;P0002;;500;220;;
B39000122;70.9489;17.21;71.3389;17.4;POLYLINE;B39C;39;F120007;P0002;;580;220;;
B39000123;65.5489;17.01;65.9389;17.2;POLYLINE;B39;39;F110021;P0002;;40;200;;
B39000124;65.1489;17.01;65.5389;17.2;POLYLINE;B39;39;F110021;P0002;;0;200;;
B39000125;65.9489;17.01;66.3389;17.2;POLYLINE;B39;39;F110021;P0002;;80;200;;
B39000126;67.9489;17.01;68.3389;17.2;POLYLINE;B39;39;F110021;P0002;;280;200;;
B39000127;68.3489;17.01;68.7389;17.2;POLYLINE;B39;39;F110021;P0002;;320;200;;
B39000128;68.7489;17.01;69.1389;17.2;POLYLINE;B39;39;F110021;P0002;;360;200;;
B39000129;65.7489;16.81;66.1389;17;POLYLINE;B39;39;F100021;P0002;;60;180;;
B39000130;65.3489;16.81;65.7389;17;POLYLINE;B39;39;F100021;P0002;;20;180;;
B39000131;66.1489;16.81;66.5389;17;POLYLINE;B39;39;F100021;P0002;;100;180;;
B39000132;68.1489;16.81;68.5389;17;POLYLINE;B39;39;F100021;P0002;;300;180;;
B39000133;67.7489;16.81;68.1389;17;POLYLINE;B39;39;F100021;P0002;;260;180;;
B39000134;68.5489;16.81;68.9389;17;POLYLINE;B39;39;F100021;P0002;;340;180;;
B39000135;68.9489;16.81;69.3389;17;POLYLINE;B39;39;F100021;P0002;;380;180;;
B39000136;65.5489;16.61;65.9389;16.8;POLYLINE;B39;39;F090021;P0002;;40;160;;
B39000137;65.1489;16.61;65.5389;16.8;POLYLINE;B39;39;F090021;P0002;;0;160;;
B39000138;65.9489;16.61;66.3389;16.8;POLYLINE;B39;39;F090021;P0002;;80;160;;
B39000139;67.9489;16.61;68.3389;16.8;POLYLINE;B39;39;F090021;P0002;;280;160;;
B39000140;68.3489;16.61;68.7389;16.8;POLYLINE;B39;39;F090021;P0002;;320;160;;
B39000141;68.7489;16.61;69.1389;16.8;POLYLINE;B39;39;F090021;P0002;;360;160;;
B39000142;65.7489;16.41;66.1389;16.6;POLYLINE;B39;39;F080021;P0002;;60;140;;
B39000143;65.3489;16.41;65.7389;16.6;POLYLINE;B39;39;F080021;P0002;;20;140;;
B39000144;66.1489;16.41;66.5389;16.6;POLYLINE;B39;39;F080021;P0002;;100;140;;
B39000145;68.1489;16.41;68.5389;16.6;POLYLINE;B39;39;F080021;P0002;;300;140;;
B39000146;67.7489;16.41;68.1389;16.6;POLYLINE;B39;39;F080021;P0002;;260;140;;
B39000147;68.5489;16.41;68.9389;16.6;POLYLINE;B39;39;F080021;P0002;;340;140;;
B39000148;68.9489;16.41;69.3389;16.6;POLYLINE;B39;39;F080021;P0002;;380;140;;
B39000149;65.5489;16.21;65.9389;16.4;POLYLINE;B39;39;F070020;P0002;;40;120;;
B39000150;65.1489;16.21;65.5389;16.4;POLYLINE;B39;39;F070020;P0002;;0;120;;
B39000151;65.9489;16.21;66.3389;16.4;POLYLINE;B39;39;F070020;P0002;;80;120;;
B39000152;67.9489;16.21;68.3389;16.4;POLYLINE;B39;39;F070020;P0002;;280;120;;
B39000153;68.3489;16.21;68.7389;16.4;POLYLINE;B39;39;F070020;P0002;;320;120;;
B39000154;68.7489;16.21;69.1389;16.4;POLYLINE;B39;39;F070020;P0002;;360;120;;
B39000155;65.7489;16.01;66.1389;16.2;POLYLINE;B39;39;F060020;P0002;;60;100;;
B39000156;65.3489;16.01;65.7389;16.2;POLYLINE;B39;39;F060020;P0002;;20;100;;
B39000157;66.1489;16.01;66.5389;16.2;POLYLINE;B39;39;F060020;P0002;;100;100;;
B39000158;68.1489;16.01;68.5389;16.2;POLYLINE;B39;39;F060020;P0002;;300;100;;
B39000159;67.7489;16.01;68.1389;16.2;POLYLINE;B39;39;F060020;P0002;;260;100;;
B39000160;68.5489;16.01;68.9389;16.2;POLYLINE;B39;39;F060020;P0002;;340;100;;
B39000161;68.9489;16.01;69.3389;16.2;POLYLINE;B39;39;F060020;P0002;;380;100;;
B39000162;65.5489;15.81;65.9389;16;POLYLINE;B39;39;F050014;P0002;;40;80;;
B39000163;65.1489;15.81;65.5389;16;POLYLINE;B39;39;F050014;P0002;;0;80;;
B39000164;65.9489;15.81;66.3389;16;POLYLINE;B39C;39;F050014;P0002;;80;80;;
B39000165;66.7489;15.81;67.1389;16;POLYLINE;B39C;39;F050014;P0002;;160;80;;
B39000166;66.3489;15.81;66.7389;16;POLYLINE;B39C;39;F050014;P0002;;120;80;;
B39000167;67.1489;15.81;67.5389;16;POLYLINE;B39C;39;F050014;P0002;;200;80;;
B39000168;67.9489;15.81;68.3389;16;POLYLINE;B39C;39;F050014;P0002;;280;80;;
B39000169;67.5489;15.81;67.9389;16;POLYLINE;B39C;39;F050014;P0002;;240;80;;
B39000170;68.3489;15.81;68.7389;16;POLYLINE;B39;39;F050014;P0002;;320;80;;
B39000171;69.1489;15.81;69.5389;16;POLYLINE;B39C;39;F050014;P0002;;400;80;;
B39000172;68.7489;15.81;69.1389;16;POLYLINE;B39C;39;F050014;P0002;;360;80;;
B39000173;69.5489;15.81;69.9389;16;POLYLINE;B39C;39;F050014;P0002;;440;80;;
B39000174;70.3489;15.81;70.7389;16;POLYLINE;B39C;39;F050014;P0002;;520;80;;
B39000175;69.9489;15.81;70.3389;16;POLYLINE;B39C;39;F050014;P0002;;480;80;;
B39000176;70.7489;15.81;71.1389;16;POLYLINE;B39C;39;F050014;P0002;;560;80;;
B39000177;65.7489;15.61;66.1389;15.8;POLYLINE;B39;39;F040014;P0002;;60;60;;
B39000178;65.3489;15.61;65.7389;15.8;POLYLINE;B39;39;F040014;P0002;;20;60;;
B39000179;66.1489;15.61;66.5389;15.8;POLYLINE;B39;39;F040014;P0002;;100;60;;
B39000180;66.9489;15.61;67.3389;15.8;POLYLINE;B39;39;F040014;P0002;;180;60;;
B39000181;66.5489;15.61;66.9389;15.8;POLYLINE;B39;39;F040014;P0002;;140;60;;
B39000182;67.3489;15.61;67.7389;15.8;POLYLINE;B39;39;F040014;P0002;;220;60;;
B39000183;68.1489;15.61;68.5389;15.8;POLYLINE;B39;39;F040014;P0002;;300;60;;
B39000184;67.7489;15.61;68.1389;15.8;POLYLINE;B39;39;F040014;P0002;;260;60;;
B39000185;68.5489;15.61;68.9389;15.8;POLYLINE;B39;39;F040014;P0002;;340;60;;
B39000186;69.3489;15.61;69.7389;15.8;POLYLINE;B39;39;F040014;P0002;;420;60;;
B39000187;68.9489;15.61;69.3389;15.8;POLYLINE;B39;39;F040014;P0002;;380;60;;
B39000188;69.7489;15.61;70.1389;15.8;POLYLINE;B39;39;F040014;P0002;;460;60;;
B39000189;70.5489;15.61;70.9389;15.8;POLYLINE;B39;39;F040014;P0002;;540;60;;
B39000190;70.1489;15.61;70.5389;15.8;POLYLINE;B39;39;F040014;P0002;;500;60;;
B39000191;70.9489;15.61;71.3389;15.8;POLYLINE;B39;39;F040014;P0002;;580;60;;
B39000192;65.5489;15.41;65.9389;15.6;POLYLINE;B39;39;F030014;P0002;;40;40;;
B39000193;65.1489;15.41;65.5389;15.6;POLYLINE;B39;39;F030014;P0002;;0;40;;
B39000194;65.9489;15.41;66.3389;15.6;POLYLINE;B39;39;F030014;P0002;;80;40;;
B39000195;66.7489;15.41;67.1389;15.6;POLYLINE;B39;39;F030014;P0002;;160;40;;
B39000196;66.3489;15.41;66.7389;15.6;POLYLINE;B39;39;F030014;P0002;;120;40;;
B39000197;67.1489;15.41;67.5389;15.6;POLYLINE;B39;39;F030014;P0002;;200;40;;
B39000198;67.9489;15.41;68.3389;15.6;POLYLINE;B39;39;F030014;P0002;;280;40;;
B39000199;67.5489;15.41;67.9389;15.6;POLYLINE;B39;39;F030014;P0002;;240;40;;
B39000200;68.3489;15.41;68.7389;15.6;POLYLINE;B39;39;F030014;P0002;;320;40;;
B39000201;69.1489;15.41;69.5389;15.6;POLYLINE;B39;39;F030014;P0002;;400;40;;
B39000202;68.7489;15.41;69.1389;15.6;POLYLINE;B39;39;F030014;P0002;;360;40;;
B39000203;69.5489;15.41;69.9389;15.6;POLYLINE;B39;39;F030014;P0002;;440;40;;
B39000204;70.3489;15.41;70.7389;15.6;POLYLINE;B39;39;F030014;P0002;;520;40;;
B39000205;69.9489;15.41;70.3389;15.6;POLYLINE;B39;39;F030014;P0002;;480;40;;
B39000206;70.7489;15.41;71.1389;15.6;POLYLINE;B39;39;F030014;P0002;;560;40;;
B39000207;65.7489;15.21;66.1389;15.4;POLYLINE;B39;39;F020016;P0002;;60;20;;
B39000208;65.3489;15.21;65.7389;15.4;POLYLINE;B39;39;F020016;P0002;;20;20;;
B39000209;66.1489;15.21;66.5389;15.4;POLYLINE;B39;39;F020016;P0002;;100;20;;
B39000210;66.9489;15.21;67.3389;15.4;POLYLINE;B39;39;F020016;P0002;;180;20;;
B39000211;66.5489;15.21;66.9389;15.4;POLYLINE;B39;39;F020016;P0002;;140;20;;
B39000212;67.3489;15.21;67.7389;15.4;POLYLINE;B39;39;F020016;P0002;;220;20;;
B39000213;68.1489;15.21;68.5389;15.4;POLYLINE;B39;39;F020016;P0002;;300;20;;
B39000214;67.7489;15.21;68.1389;15.4;POLYLINE;B39;39;F020016;P0002;;260;20;;
B39000215;68.5489;15.21;68.9389;15.4;POLYLINE;B39;39;F020016;P0002;;340;20;;
B39000216;69.3489;15.21;69.7389;15.4;POLYLINE;B39;39;F020016;P0002;;420;20;;
B39000217;68.9489;15.21;69.3389;15.4;POLYLINE;B39;39;F020016;P0002;;380;20;;
B39000218;69.7489;15.21;70.1389;15.4;POLYLINE;B39;39;F020016;P0002;;460;20;;
B39000219;70.5489;15.21;70.9389;15.4;POLYLINE;B39;39;F020016;P0002;;540;20;;
B39000220;70.1489;15.21;70.5389;15.4;POLYLINE;B39;39;F020016;P0002;;500;20;;
B39000221;70.9489;15.21;71.3389;15.4;POLYLINE;B39;39;F020016;P0002;;580;20;;
B39000222;65.5489;15.01;65.9389;15.2;POLYLINE;B39;39;F010014;P0002;;40;0;;
B39000223;65.1489;15.01;65.5389;15.2;POLYLINE;B39;39;F010014;P0002;;0;0;;
B39000224;65.9489;15.01;66.3389;15.2;POLYLINE;B39;39;F010014;P0002;;80;0;;
B39000225;66.7489;15.01;67.1389;15.2;POLYLINE;B39;39;F010014;P0002;;160;0;;
B39000226;66.3489;15.01;66.7389;15.2;POLYLINE;B39;39;F010014;P0002;;120;0;;
